task_id,scenario_id,seed,method_id,truth_level,success,failure_code,fallback_triggered,fallback_mode,repair_hint,steps,max_position_error_m,max_attitude_error_rad,max_viewpoint_error_rad,min_clearance_m,min_safety_margin_m,terminal_soc,max_energy_rate_w,max_command_age_steps,safety_intervention_count,mean_delta_u_l2,run_dir
T2_dynamic_obstacle,T2_dynamic_obstacle_seed0,0,B0_pid_pose,synthetic_trace_smoke,False,DYN_FEASIBILITY_VIOLATION,False,none,slow_down_split_waypoint_or_extend_horizon,102,12.0,0.0,0.0,0.934866,-0.065134,0.692937,165.0,0,6,0.0,benchmark_swarm_rl\outputs\wef_main_6method_5seed_synthetic_matrix_20260619\T2_dynamic_obstacle_seed0__B0_pid_pose
T2_dynamic_obstacle,T2_dynamic_obstacle_seed0,0,B1_tracking_mpc,synthetic_trace_smoke,True,NONE,False,none,none,68,12.0,0.0,0.0,1.215637,0.215637,0.715611,165.0,0,0,0.0,benchmark_swarm_rl\outputs\wef_main_6method_5seed_synthetic_matrix_20260619\T2_dynamic_obstacle_seed0__B1_tracking_mpc
T2_dynamic_obstacle,T2_dynamic_obstacle_seed0,0,B3_mpc_cbf,synthetic_trace_smoke,True,NONE,False,none,none,165,12.0,0.0,0.0,1.965863,0.965863,0.66598,165.0,0,97,1.7636363636363637,benchmark_swarm_rl\outputs\wef_main_6method_5seed_synthetic_matrix_20260619\T2_dynamic_obstacle_seed0__B3_mpc_cbf
T2_dynamic_obstacle,T2_dynamic_obstacle_seed0,0,Ours_SEFF_pose,synthetic_trace_smoke,True,NONE,False,none,none,165,12.0,0.0,0.0,1.965863,0.965863,0.664284,165.0,0,97,1.7636363636363637,benchmark_swarm_rl\outputs\wef_main_6method_5seed_synthetic_matrix_20260619\T2_dynamic_obstacle_seed0__Ours_SEFF_pose
T2_dynamic_obstacle,T2_dynamic_obstacle_seed0,0,Ours_SEFF_local_continue,synthetic_trace_smoke,True,NONE,False,none,none,165,12.0,0.0,0.0,1.965863,0.965863,0.664284,165.0,0,97,1.7636363636363637,benchmark_swarm_rl\outputs\wef_main_6method_5seed_synthetic_matrix_20260619\T2_dynamic_obstacle_seed0__Ours_SEFF_local_continue
T2_dynamic_obstacle,T2_dynamic_obstacle_seed0,0,Ours_TE_SEFF_rule,synthetic_trace_smoke,True,NONE,False,none,none,159,12.0,0.0,0.0,1.965863,0.965863,0.668897,165.0,0,158,1.830188679245283,benchmark_swarm_rl\outputs\wef_main_6method_5seed_synthetic_matrix_20260619\T2_dynamic_obstacle_seed0__Ours_TE_SEFF_rule
T2_dynamic_obstacle,T2_dynamic_obstacle_seed1,1,B0_pid_pose,synthetic_trace_smoke,False,DYN_FEASIBILITY_VIOLATION,False,none,slow_down_split_waypoint_or_extend_horizon,100,11.4,0.0,0.0,0.417965,-0.582035,0.696937,165.0,0,19,0.0,benchmark_swarm_rl\outputs\wef_main_6method_5seed_synthetic_matrix_20260619\T2_dynamic_obstacle_seed1__B0_pid_pose
T2_dynamic_obstacle,T2_dynamic_obstacle_seed1,1,B1_tracking_mpc,synthetic_trace_smoke,False,DYN_FEASIBILITY_VIOLATION,False,none,slow_down_split_waypoint_or_extend_horizon,66,11.4,0.0,0.0,0.706727,-0.293273,0.719311,165.0,0,9,0.0,benchmark_swarm_rl\outputs\wef_main_6method_5seed_synthetic_matrix_20260619\T2_dynamic_obstacle_seed1__B1_tracking_mpc
T2_dynamic_obstacle,T2_dynamic_obstacle_seed1,1,B3_mpc_cbf,synthetic_trace_smoke,True,NONE,False,none,none,163,11.4,0.0,0.0,1.996772,0.996772,0.66974,165.0,0,97,1.7852760736196318,benchmark_swarm_rl\outputs\wef_main_6method_5seed_synthetic_matrix_20260619\T2_dynamic_obstacle_seed1__B3_mpc_cbf
T2_dynamic_obstacle,T2_dynamic_obstacle_seed1,1,Ours_SEFF_pose,synthetic_trace_smoke,True,NONE,False,none,none,163,11.4,0.0,0.0,1.996772,0.996772,0.668134,165.0,0,97,1.7852760736196318,benchmark_swarm_rl\outputs\wef_main_6method_5seed_synthetic_matrix_20260619\T2_dynamic_obstacle_seed1__Ours_SEFF_pose
